"Estado","Ano","Tipo","Mes","value"
"Sinaloa","2010","General","Ene",352
"Sonora","2010","General","Ene",52
"Tabasco","2010","General","Ene",2
"Tamaulipas","2010","General","Ene",9
"Tlaxcala","2010","General","Ene",1
"Veracruz","2010","General","Ene",13
"Yucatan","2010","General","Ene",2
"Zacatecas","2010","General","Ene",121
"Total","2010","General","Ene",14143
"Aguascalientes","2011","General","Ene",80
"BajaCalifornia","2011","General","Ene",5
"BajaCaliforniaSur","2011","General","Ene",2
"Campeche","2011","General","Ene",10
"Coahuila","2011","General","Ene",0
"Colima","2011","General","Ene",615
"Chiapas","2011","General","Ene",33
"Chihuahua","2011","General","Ene",16
"DistritoFederal","2011","General","Ene",31
"Durango","2011","General","Ene",199
"Guanajuato","2011","General","Ene",951
"Guerrero","2011","General","Ene",2583
"Hidalgo","2011","General","Ene",0
"Jalisco","2011","General","Ene",2364
"Mexico","2011","General","Ene",267
"Michoacan","2011","General","Ene",1187
"Morelos","2011","General","Ene",1167
"Nayarit","2011","General","Ene",487
"NuevoLeon","2011","General","Ene",1
"Oaxaca","2011","General","Ene",249
"Puebla","2011","General","Ene",675
"Queretaro","2011","General","Ene",168
"QuintanaRoo","2011","General","Ene",6
"SanLuisPotosi","2011","General","Ene",10
"Sinaloa","2011","General","Ene",293
"Sonora","2011","General","Ene",57
"Tabasco","2011","General","Ene",1
"Tamaulipas","2011","General","Ene",6
"Tlaxcala","2011","General","Ene",1
"Veracruz","2011","General","Ene",7
"Yucatan","2011","General","Ene",5
"Zacatecas","2011","General","Ene",114
"Total","2011","General","Ene",11590
"Aguascalientes","2012","General","Ene",116
"BajaCalifornia","2012","General","Ene",2
"BajaCaliforniaSur","2012","General","Ene",2
"Campeche","2012","General","Ene",2
"Coahuila","2012","General","Ene",1
"Colima","2012","General","Ene",837
"Chiapas","2012","General","Ene",24
"Chihuahua","2012","General","Ene",10
"DistritoFederal","2012","General","Ene",22
"Durango","2012","General","Ene",381
"Guanajuato","2012","General","Ene",1975
"Guerrero","2012","General","Ene",4341
"Hidalgo","2012","General","Ene",11
"Jalisco","2012","General","Ene",3691
"Mexico","2012","General","Ene",602
"Michoacan","2012","General","Ene",2232
"Morelos","2012","General","Ene",2094
"Nayarit","2012","General","Ene",1008
"NuevoLeon","2012","General","Ene",6
"Oaxaca","2012","General","Ene",348
"Puebla","2012","General","Ene",918
"Queretaro","2012","General","Ene",240
"QuintanaRoo","2012","General","Ene",9
"SanLuisPotosi","2012","General","Ene",13
"Sinaloa","2012","General","Ene",346
"Sonora","2012","General","Ene",175
"Tabasco","2012","General","Ene",4
"Tamaulipas","2012","General","Ene",10
"Tlaxcala","2012","General","Ene",4
"Veracruz","2012","General","Ene",10
"Yucatan","2012","General","Ene",5
"Zacatecas","2012","General","Ene",149
"Total","2012","General","Ene",19588
"Aguascalientes","2013","General","Ene",98
"BajaCalifornia","2013","General","Ene",1
"BajaCaliforniaSur","2013","General","Ene",3
"Campeche","2013","General","Ene",2
"Coahuila","2013","General","Ene",4
"Colima","2013","General","Ene",912
"Chiapas","2013","General","Ene",34
"Chihuahua","2013","General","Ene",12
"DistritoFederal","2013","General","Ene",37
"Durango","2013","General","Ene",304
"Guanajuato","2013","General","Ene",1538
"Guerrero","2013","General","Ene",4598
"Hidalgo","2013","General","Ene",8
"Jalisco","2013","General","Ene",3466
"Mexico","2013","General","Ene",719
"Michoacan","2013","General","Ene",2479
"Morelos","2013","General","Ene",1769
"Nayarit","2013","General","Ene",989
"NuevoLeon","2013","General","Ene",2
"Oaxaca","2013","General","Ene",392
"Puebla","2013","General","Ene",1126
"Queretaro","2013","General","Ene",323
"QuintanaRoo","2013","General","Ene",11
"SanLuisPotosi","2013","General","Ene",12
"Sinaloa","2013","General","Ene",516
"Sonora","2013","General","Ene",159
"Tabasco","2013","General","Ene",3
"Tamaulipas","2013","General","Ene",15
"Tlaxcala","2013","General","Ene",1
"Veracruz","2013","General","Ene",10
"Yucatan","2013","General","Ene",2
"Zacatecas","2013","General","Ene",134
"Total","2013","General","Ene",19679
"Aguascalientes","2003","Hombres","Ene",35
"BajaCalifornia","2003","Hombres","Ene",2
"BajaCaliforniaSur","2003","Hombres","Ene",2
"Campeche","2003","Hombres","Ene",1
"Coahuila","2003","Hombres","Ene",0
"Colima","2003","Hombres","Ene",459
"Chiapas","2003","Hombres","Ene",4
"Chihuahua","2003","Hombres","Ene",5
"DistritoFederal","2003","Hombres","Ene",7
"Durango","2003","Hombres","Ene",80
"Guanajuato","2003","Hombres","Ene",658
"Guerrero","2003","Hombres","Ene",909
"Hidalgo","2003","Hombres","Ene",3
"Jalisco","2003","Hombres","Ene",1973
"Mexico","2003","Hombres","Ene",142
"Michoacan","2003","Hombres","Ene",962
"Morelos","2003","Hombres","Ene",806
"Nayarit","2003","Hombres","Ene",535
"NuevoLeon","2003","Hombres","Ene",2
"Oaxaca","2003","Hombres","Ene",151
"Puebla","2003","Hombres","Ene",486
"Queretaro","2003","Hombres","Ene",96
"QuintanaRoo","2003","Hombres","Ene",0
"SanLuisPotosi","2003","Hombres","Ene",2
"Sinaloa","2003","Hombres","Ene",167
"Sonora","2003","Hombres","Ene",157
"Tabasco","2003","Hombres","Ene",0
"Tamaulipas","2003","Hombres","Ene",6
"Tlaxcala","2003","Hombres","Ene",0
"Veracruz","2003","Hombres","Ene",5
"Yucatan","2003","Hombres","Ene",1
"Zacatecas","2003","Hombres","Ene",56
"Total","2003","Hombres","Ene",7712
"Aguascalientes","2004","Hombres","Ene",60
"BajaCalifornia","2004","Hombres","Ene",0
"BajaCaliforniaSur","2004","Hombres","Ene",1
"Campeche","2004","Hombres","Ene",1
"Coahuila","2004","Hombres","Ene",2
"Colima","2004","Hombres","Ene",300
"Chiapas","2004","Hombres","Ene",4
"Chihuahua","2004","Hombres","Ene",2
"DistritoFederal","2004","Hombres","Ene",9
"Durango","2004","Hombres","Ene",71
"Guanajuato","2004","Hombres","Ene",380
"Guerrero","2004","Hombres","Ene",956
"Hidalgo","2004","Hombres","Ene",4
"Jalisco","2004","Hombres","Ene",1409
"Mexico","2004","Hombres","Ene",104
"Michoacan","2004","Hombres","Ene",585
"Morelos","2004","Hombres","Ene",590
"Nayarit","2004","Hombres","Ene",394
"NuevoLeon","2004","Hombres","Ene",3
"Oaxaca","2004","Hombres","Ene",77
"Puebla","2004","Hombres","Ene",364
"Queretaro","2004","Hombres","Ene",78
"QuintanaRoo","2004","Hombres","Ene",4
"SanLuisPotosi","2004","Hombres","Ene",1
"Sinaloa","2004","Hombres","Ene",130
"Sonora","2004","Hombres","Ene",33
"Tabasco","2004","Hombres","Ene",0
"Tamaulipas","2004","Hombres","Ene",5
"Tlaxcala","2004","Hombres","Ene",0
"Veracruz","2004","Hombres","Ene",1
"Yucatan","2004","Hombres","Ene",0
"Zacatecas","2004","Hombres","Ene",46
"Total","2004","Hombres","Ene",5614
"Aguascalientes","2005","Hombres","Ene",33
"BajaCalifornia","2005","Hombres","Ene",2
"BajaCaliforniaSur","2005","Hombres","Ene",0
"Campeche","2005","Hombres","Ene",0
"Coahuila","2005","Hombres","Ene",2
"Colima","2005","Hombres","Ene",353
"Chiapas","2005","Hombres","Ene",7
"Chihuahua","2005","Hombres","Ene",6
"DistritoFederal","2005","Hombres","Ene",10
"Durango","2005","Hombres","Ene",107
"Guanajuato","2005","Hombres","Ene",404
"Guerrero","2005","Hombres","Ene",853
"Hidalgo","2005","Hombres","Ene",2
"Jalisco","2005","Hombres","Ene",1325
"Mexico","2005","Hombres","Ene",129
"Michoacan","2005","Hombres","Ene",639
"Morelos","2005","Hombres","Ene",557
"Nayarit","2005","Hombres","Ene",366
"NuevoLeon","2005","Hombres","Ene",0
"Oaxaca","2005","Hombres","Ene",95
"Puebla","2005","Hombres","Ene",395
"Queretaro","2005","Hombres","Ene",70
"QuintanaRoo","2005","Hombres","Ene",3
"SanLuisPotosi","2005","Hombres","Ene",7
"Sinaloa","2005","Hombres","Ene",140
"Sonora","2005","Hombres","Ene",27
"Tabasco","2005","Hombres","Ene",0
"Tamaulipas","2005","Hombres","Ene",4
"Tlaxcala","2005","Hombres","Ene",0
"Veracruz","2005","Hombres","Ene",1
"Yucatan","2005","Hombres","Ene",0
"Zacatecas","2005","Hombres","Ene",59
"Total","2005","Hombres","Ene",5596
"Aguascalientes","2006","Hombres","Ene",60
"BajaCalifornia","2006","Hombres","Ene",0
"BajaCaliforniaSur","2006","Hombres","Ene",0
"Campeche","2006","Hombres","Ene",1
"Coahuila","2006","Hombres","Ene",0
"Colima","2006","Hombres","Ene",427
"Chiapas","2006","Hombres","Ene",6
"Chihuahua","2006","Hombres","Ene",5
"DistritoFederal","2006","Hombres","Ene",12
"Durango","2006","Hombres","Ene",73
"Guanajuato","2006","Hombres","Ene",856
"Guerrero","2006","Hombres","Ene",1293
"Hidalgo","2006","Hombres","Ene",4
"Jalisco","2006","Hombres","Ene",1940
"Mexico","2006","Hombres","Ene",150
"Michoacan","2006","Hombres","Ene",1037
"Morelos","2006","Hombres","Ene",836
"Nayarit","2006","Hombres","Ene",395
"NuevoLeon","2006","Hombres","Ene",3
"Oaxaca","2006","Hombres","Ene",146
"Puebla","2006","Hombres","Ene",546
"Queretaro","2006","Hombres","Ene",108
"QuintanaRoo","2006","Hombres","Ene",6
"SanLuisPotosi","2006","Hombres","Ene",9
"Sinaloa","2006","Hombres","Ene",109
"Sonora","2006","Hombres","Ene",44
"Tabasco","2006","Hombres","Ene",1
"Tamaulipas","2006","Hombres","Ene",3
"Tlaxcala","2006","Hombres","Ene",1
"Veracruz","2006","Hombres","Ene",6
"Yucatan","2006","Hombres","Ene",2
"Zacatecas","2006","Hombres","Ene",86
"Total","2006","Hombres","Ene",8165
"Aguascalientes","2007","Hombres","Ene",36
"BajaCalifornia","2007","Hombres","Ene",1
"BajaCaliforniaSur","2007","Hombres","Ene",1
"Campeche","2007","Hombres","Ene",3
"Coahuila","2007","Hombres","Ene",0
"Colima","2007","Hombres","Ene",437
"Chiapas","2007","Hombres","Ene",13
"Chihuahua","2007","Hombres","Ene",7
"DistritoFederal","2007","Hombres","Ene",16
"Durango","2007","Hombres","Ene",101
"Guanajuato","2007","Hombres","Ene",870
"Guerrero","2007","Hombres","Ene",1390
"Hidalgo","2007","Hombres","Ene",1
"Jalisco","2007","Hombres","Ene",1825
"Mexico","2007","Hombres","Ene",201
"Michoacan","2007","Hombres","Ene",1004
"Morelos","2007","Hombres","Ene",1087
"Nayarit","2007","Hombres","Ene",555
"NuevoLeon","2007","Hombres","Ene",1
"Oaxaca","2007","Hombres","Ene",160
"Puebla","2007","Hombres","Ene",530
"Queretaro","2007","Hombres","Ene",89
"QuintanaRoo","2007","Hombres","Ene",5
"SanLuisPotosi","2007","Hombres","Ene",4
"Sinaloa","2007","Hombres","Ene",165
"Sonora","2007","Hombres","Ene",42
"Tabasco","2007","Hombres","Ene",1
"Tamaulipas","2007","Hombres","Ene",4
"Tlaxcala","2007","Hombres","Ene",0
"Veracruz","2007","Hombres","Ene",10
"Yucatan","2007","Hombres","Ene",2
"Zacatecas","2007","Hombres","Ene",73
"Total","2007","Hombres","Ene",8634
"Aguascalientes","2008","Hombres","Ene",36
"BajaCalifornia","2008","Hombres","Ene",2
"BajaCaliforniaSur","2008","Hombres","Ene",1
"Campeche","2008","Hombres","Ene",36
"Coahuila","2008","Hombres","Ene",0
"Colima","2008","Hombres","Ene",382
"Chiapas","2008","Hombres","Ene",12
"Chihuahua","2008","Hombres","Ene",3
"DistritoFederal","2008","Hombres","Ene",14
"Durango","2008","Hombres","Ene",46
"Guanajuato","2008","Hombres","Ene",625
"Guerrero","2008","Hombres","Ene",1162
"Hidalgo","2008","Hombres","Ene",4
"Jalisco","2008","Hombres","Ene",1514
"Mexico","2008","Hombres","Ene",168
"Michoacan","2008","Hombres","Ene",780
"Morelos","2008","Hombres","Ene",750
"Nayarit","2008","Hombres","Ene",392
"NuevoLeon","2008","Hombres","Ene",4
"Oaxaca","2008","Hombres","Ene",135
"Puebla","2008","Hombres","Ene",369
"Queretaro","2008","Hombres","Ene",53
"QuintanaRoo","2008","Hombres","Ene",0
"SanLuisPotosi","2008","Hombres","Ene",5
"Sinaloa","2008","Hombres","Ene",116
"Sonora","2008","Hombres","Ene",39
"Tabasco","2008","Hombres","Ene",1
"Tamaulipas","2008","Hombres","Ene",1
"Tlaxcala","2008","Hombres","Ene",0
"Veracruz","2008","Hombres","Ene",3
"Yucatan","2008","Hombres","Ene",0
"Zacatecas","2008","Hombres","Ene",73
"Total","2008","Hombres","Ene",6726
"Aguascalientes","2009","Hombres","Ene",37
"BajaCalifornia","2009","Hombres","Ene",2
"BajaCaliforniaSur","2009","Hombres","Ene",1
"Campeche","2009","Hombres","Ene",2
"Coahuila","2009","Hombres","Ene",0
"Colima","2009","Hombres","Ene",363
"Chiapas","2009","Hombres","Ene",8
"Chihuahua","2009","Hombres","Ene",3
"DistritoFederal","2009","Hombres","Ene",16
"Durango","2009","Hombres","Ene",82
"Guanajuato","2009","Hombres","Ene",398
"Guerrero","2009","Hombres","Ene",1147
"Hidalgo","2009","Hombres","Ene",1
"Jalisco","2009","Hombres","Ene",1445
"Mexico","2009","Hombres","Ene",186
"Michoacan","2009","Hombres","Ene",775
"Morelos","2009","Hombres","Ene",724
"Nayarit","2009","Hombres","Ene",583
"NuevoLeon","2009","Hombres","Ene",3
"Oaxaca","2009","Hombres","Ene",127
"Puebla","2009","Hombres","Ene",377
"Queretaro","2009","Hombres","Ene",53
"QuintanaRoo","2009","Hombres","Ene",1
"SanLuisPotosi","2009","Hombres","Ene",3
"Sinaloa","2009","Hombres","Ene",174
"Sonora","2009","Hombres","Ene",46
"Tabasco","2009","Hombres","Ene",0
"Tamaulipas","2009","Hombres","Ene",3
"Tlaxcala","2009","Hombres","Ene",1
"Veracruz","2009","Hombres","Ene",3
"Yucatan","2009","Hombres","Ene",0
"Zacatecas","2009","Hombres","Ene",63
"Total","2009","Hombres","Ene",6627
"Aguascalientes","2010","Hombres","Ene",29
"BajaCalifornia","2010","Hombres","Ene",0
"BajaCaliforniaSur","2010","Hombres","Ene",0
"Campeche","2010","Hombres","Ene",2
"Coahuila","2010","Hombres","Ene",2
"Colima","2010","Hombres","Ene",396
"Chiapas","2010","Hombres","Ene",12
"Chihuahua","2010","Hombres","Ene",2
"DistritoFederal","2010","Hombres","Ene",12
"Durango","2010","Hombres","Ene",86
"Guanajuato","2010","Hombres","Ene",420
"Guerrero","2010","Hombres","Ene",1846
"Hidalgo","2010","Hombres","Ene",1
"Jalisco","2010","Hombres","Ene",1505
"Mexico","2010","Hombres","Ene",213
"Michoacan","2010","Hombres","Ene",897
"Morelos","2010","Hombres","Ene",659
"Nayarit","2010","Hombres","Ene",434
"NuevoLeon","2010","Hombres","Ene",1
"Oaxaca","2010","Hombres","Ene",147
"Puebla","2010","Hombres","Ene",391
"Queretaro","2010","Hombres","Ene",89
"QuintanaRoo","2010","Hombres","Ene",2
"SanLuisPotosi","2010","Hombres","Ene",0
"Sinaloa","2010","Hombres","Ene",164
"Sonora","2010","Hombres","Ene",24
"Tabasco","2010","Hombres","Ene",1
"Tamaulipas","2010","Hombres","Ene",3
"Tlaxcala","2010","Hombres","Ene",1
"Veracruz","2010","Hombres","Ene",7
"Yucatan","2010","Hombres","Ene",2
"Zacatecas","2010","Hombres","Ene",68
"Total","2010","Hombres","Ene",7416
"Aguascalientes","2011","Hombres","Ene",44
"BajaCalifornia","2011","Hombres","Ene",0
"BajaCaliforniaSur","2011","Hombres","Ene",1
"Campeche","2011","Hombres","Ene",3
"Coahuila","2011","Hombres","Ene",0
"Colima","2011","Hombres","Ene",312
"Chiapas","2011","Hombres","Ene",13
"Chihuahua","2011","Hombres","Ene",4
"DistritoFederal","2011","Hombres","Ene",16
"Durango","2011","Hombres","Ene",97
"Guanajuato","2011","Hombres","Ene",469
"Guerrero","2011","Hombres","Ene",1314
"Hidalgo","2011","Hombres","Ene",0
"Jalisco","2011","Hombres","Ene",1184
"Mexico","2011","Hombres","Ene",123
"Michoacan","2011","Hombres","Ene",585
"Morelos","2011","Hombres","Ene",558
"Nayarit","2011","Hombres","Ene",261
"NuevoLeon","2011","Hombres","Ene",1
"Oaxaca","2011","Hombres","Ene",100
"Puebla","2011","Hombres","Ene",325
"Queretaro","2011","Hombres","Ene",96
"QuintanaRoo","2011","Hombres","Ene",3
"SanLuisPotosi","2011","Hombres","Ene",4
"Sinaloa","2011","Hombres","Ene",132
"Sonora","2011","Hombres","Ene",26
"Tabasco","2011","Hombres","Ene",0
"Tamaulipas","2011","Hombres","Ene",2
"Tlaxcala","2011","Hombres","Ene",0
"Veracruz","2011","Hombres","Ene",3
"Yucatan","2011","Hombres","Ene",1
"Zacatecas","2011","Hombres","Ene",50
"Total","2011","Hombres","Ene",5727
"Aguascalientes","2012","Hombres","Ene",55
"BajaCalifornia","2012","Hombres","Ene",1
"BajaCaliforniaSur","2012","Hombres","Ene",1
"Campeche","2012","Hombres","Ene",1
"Coahuila","2012","Hombres","Ene",0
"Colima","2012","Hombres","Ene",447
"Chiapas","2012","Hombres","Ene",9
"Chihuahua","2012","Hombres","Ene",5
"DistritoFederal","2012","Hombres","Ene",9
"Durango","2012","Hombres","Ene",187
"Guanajuato","2012","Hombres","Ene",876
"Guerrero","2012","Hombres","Ene",2227
"Hidalgo","2012","Hombres","Ene",6
"Jalisco","2012","Hombres","Ene",1913
"Mexico","2012","Hombres","Ene",295
"Michoacan","2012","Hombres","Ene",1109
"Morelos","2012","Hombres","Ene",1051
"Nayarit","2012","Hombres","Ene",508
"NuevoLeon","2012","Hombres","Ene",4
"Oaxaca","2012","Hombres","Ene",132
"Puebla","2012","Hombres","Ene",426
"Queretaro","2012","Hombres","Ene",107
"QuintanaRoo","2012","Hombres","Ene",3
"SanLuisPotosi","2012","Hombres","Ene",3
"Sinaloa","2012","Hombres","Ene",151
"Sonora","2012","Hombres","Ene",78
"Tabasco","2012","Hombres","Ene",1
"Tamaulipas","2012","Hombres","Ene",5
"Tlaxcala","2012","Hombres","Ene",0
"Veracruz","2012","Hombres","Ene",3
"Yucatan","2012","Hombres","Ene",2
